timestamp;URL;beschreibung;evt_count_pm_sig;ga_cd_application_requirements;ga_cd_cxp_historicallisting;ga_cd_maillead_default_shown;ga_cd_via;geo_bln;geo_krs;geo_land;geo_plz;lat;long;obj_ExclusiveExpose;obj_assistedLiving;obj_balcony;obj_barrierFree;obj_baseRent;obj_baseRentRange;obj_cId;obj_cellar;obj_condition;obj_cwId;obj_depositLink;obj_energyEfficiencyClass;obj_energyType;obj_firingTypes;obj_floor;obj_galleryAd;obj_garden;obj_groupnumber;obj_hasKitchen;obj_heatingCosts;obj_heatingType;obj_houseNumber;obj_immotype;obj_interiorQual;obj_ityp;obj_lastRefurbish;obj_lift;obj_livingSpace;obj_livingSpaceRange;obj_newlyConst;obj_noParkSpaces;obj_noRooms;obj_noRoomsRange;obj_numberOfFloors;obj_objectnumber;obj_petsAllowed;obj_picture;obj_picturecount;obj_pricetrend;obj_pricetrendbuy;obj_pricetrendrent;obj_regio1;obj_regio2;obj_regio3;obj_scoutId;obj_serviceCharge;obj_street;obj_streetPlain;obj_telekomDownloadSpeed;obj_telekomHdTelephone;obj_telekomHybridDownloadSpeed;obj_telekomHybridUploadSpeed;obj_telekomInternet;obj_telekomInternetProductAvailable;obj_telekomInternetProductName;obj_telekomInternetServices;obj_telekomInternetTechnology;obj_telekomInternetType;obj_telekomInternetUrl;obj_telekomInternetUrlMobile;obj_telekomTrackingGroup;obj_telekomTvOffer;obj_telekomUploadSpeed;obj_thermalChar;obj_totalRent;obj_typeOfFlat;obj_yearConstructed;obj_yearConstructedRange;obj_zipCode
2020-01-01 14:28:00.166376;/expose/114915437;['Es handelt sich um eine 3 Zimmer Erdgeschosswohnung in einem Mehrfamilienhaus. Die Wohnung besteht aus einer Küche (inkl. gebrauchter Einbauküche), einem Tageslichtbad mit Dusche und 3 einzelne Zimmer. Die Zimmer sind alle von der Diele aus erreichbar (kein Durchgangszimmer), dadurch eignet sich die Wohnung auch für eine Studenten WG. Die Wohnung ist komplett renoviert (Malerarbeiten und Fußbodenbelag sind neu).', 'Eine Besichtigung ist nach Absprache über unser Büro jederzeit möglich!'];showqualicontactform;profile0;false;true;top;Sachsen;Leipzig;Deutschland;04317;51,3324244304392;12,399048467972856;false;n;n;n;400;2;1832938;n;mint_condition;001.1832938;y;D;energy_consumption;district_heating;;;n;1;y;;district_heating;19;wohnung_miete;no_information;0,active;1995;n;60;2;n;;3;3;;27;no_information;https://pictures.immobilienscout24.de/listings/92d4d2f0-a27e-4406-9f31-55e8159a8656-1340311077.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;4.38;16.31;4.38;Sachsen;Leipzig;Reudnitz_Thonberg;114915437;150;Oststr.;Oststr.;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;117.8;550;ground_floor;1900;1;04317
2020-01-01 14:28:00.810324;/expose/114923784;['Weitere Informationen und Bilder zu dieser und weiteren Immobilienangeboten erhalten Sie unter www.dobeneck.de oder telefonisch unter 0341 / 911 36 74.', 'GERNE VERMARKTEN WIR AUCH IHRE IMMOBILIE !!!', 'Besichtigungstermine:\nUm einen individuellen Besichtigungstermin zu vereinbaren, rufen Sie uns einfach an Telefon: 0341 911 36 74, oder senden Sie uns eine E-Mail mit Ihrer Telefonnummer. Wir setzen uns dann schnellstmöglich mit Ihnen in Verbindung. \nBitte haben Sie Verständnis dafür, dass wir E-Mails ohne Telefonnummer aufgrund des hohen Anfrageaufkommens leider nicht bearbeiten können.\n\nBis bald, wir freuen uns auf Sie.'];showqualicontactform;profile0;false;true;top;Sachsen;Leipzig;Deutschland;04157;51,370249294376;12,3719396949063;false;n;n;n;323.75;2;15433363;y;well_kept;001.15381173;n;D;energy_consumption;gas;;;y;;n;;central_heating;39a;wohnung_miete;no_information;0,active;;n;51.8;2;n;;2;2;;885 (1/885);no_information;https://pictures.immobilienscout24.de/listings/99383c75-87c2-4c92-98c7-dc6d36d61ca9-1340399783.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;4.07;14.7;4.07;Sachsen;Leipzig;Gohlis_Mitte;114923784;110;"Heinrich-Budde-Stra&szlig;e";Heinrich-Budde-Straße;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;105;433.75;apartment;1920;1;04157
2020-01-01 14:28:01.581966;/expose/69183031;['Dieses wunderschöne Gründerzeithaus wurde auf hohem Niveau rekonstruiert und luxuriös saniert. Insgesamt entstanden  10 großzügige Wohneinheiten  angefangen von 2 Zimmerwohnungen mit 87 m² bis zur  4 Zimmerwohnung mit 141 m².', 'Dachterrasse mit Abstellkammer\nParkett in den Wohnbereichen\noffener Wohn-und Küchenbereich mit über 60 m²\nTageslichtbad mit Wanne, Fußbodenheizung, Handtuchheizkörper, Einbauradio, Waschmaschinenanschluss und Dusche\nmodernes Fliesendesign und Armaturen\nGäste-WC mit Dusche\nSchlafzimmer mit Oberlichtern und Ankleidebereich\nglatt verspachtelte Wände\nMediensteckdose in allen Räumen außer dem Bad\nLED-Downlights in Küche, Bad und Flur\nSchallschutzfenster\nhistorischer Stuck\nKaminanschluss\nLift im Haus\nKeller\nIn der nahen Umgebung kann man einenTiefgaragenstellplatz für ca. 80,00 € mtl. anmieten.', 'Die Südvorstadt zählt zu den beliebtesten Leipziger Top-Wohngegenden. Unweit vom Zentrum und den Universitäten wohnt man hier in einem pulsierenden Stadtteil mit einer Vielzahl von kulturellen Möglichkeiten. Die Kurt-Eisner-Straße ist eine von Autos sehr befahrene Seitenstraße der Karl-Liebknecht-Straße, die wiederum in 2 Minuten Fußweg erreicht ist.', 'Mieten Sie direkt und sicher bei ihrer neuen Sachsengrund Hausverwaltung.\r\nUnsere Mitarbeiter Kerstin Melle und Christian Beschnidt stehen Ihnen gern zur Verfügung.'];;profile0;false;true;top;Sachsen;Leipzig;Deutschland;04275;51,3209760066023;12,370335405837281;false;n;y;n;1159;7;2656215;y;refurbished;001.2656215;n;;;;4;;n;14;n;;central_heating;19;wohnung_miete;luxury;0,active;2012;y;141;6;n;;4;4;4;69183031;negotiable;https://pictures.immobilienscout24.de/listings/0a44263c-012f-406b-a02d-481688638381-740769176.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;15;4.5;16.11;4.5;Sachsen;Leipzig;Südvorstadt;69183031;324;"Kurt Eisner Stra&szlig;e ";Kurt_Eisner_Straße_;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;;1483;roof_storey;1900;1;04275
2020-01-01 14:28:02.199306;/expose/111292807;"['Die Wohnung befindet sich in einem im Jahr 1993 erbauten Mehrfamilienhaus im Stadtteil Leipzig Paunsdorf. Das Haus, auch das ""Blaue Palais"" genannt, steht in einer ruhigen Seitenstraße mit altem Baumbestand, was für ein angenehmes Klima sorgt. Im mit dem Auto nur 5 Minuten Fahrtzeit entfernte ""Paunsdorf Center"", kann man Besorgungen erledigen. Das Leipziger Zentrum erreicht man in ca. 15 Minuten mit dem Auto.', 'Die Wohnungen wurden alle renoviert und mit einem Fussbodenbelag aus Laminat ausgestattet, ebenso wurden die Bäder vollkommen saniert und entsprechen dem neuesten Standard. Zur Wohnung gehört eine neue Einbauküche mit Kühlschrank. Jede Wohnung hat entweder eine Dachterrasse oder einen Balkon. Auf Anfrage ist die Anmietung eines TG - Stellplatzes möglich. Der monatliche Mietpreis für den Stellplatz beträgt € 40,- und ist nicht im Mietpreis enthalten.', 'Im Keller in einem eigens dafür vorgesehenen Raum stehen Waschmaschinen und Trockner zur Nutzung gegen Entgelt (2,- €/Waschgang) bereit.\n\n*****Bitte beachten Sie die angefügte Übersicht der noch freien Wohnungen!!!*****']";showqualicontactform;profile0;false;true;top;Sachsen;Leipzig;Deutschland;04328;51,3463393075214;12,45226802383551;false;n;y;n;400;2;18099685;n;fully_renovated;002.01008841265;y;;no_information;;1;;n;;y;;no_information;6;wohnung_miete;no_information;0,active;;y;46.8;2;n;;2;2;5;111292807;no_information;https://pictures.immobilienscout24.de/listings/dbf72d7b-2ae6-434d-8723-92cd8b8b2167-1291751984.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;3.42;12.76;3.42;Sachsen;Leipzig;Paunsdorf;111292807;120;"Johannes-K&auml;rner-Stra&szlig;e";Johannes-Kärner-Straße;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;;520;apartment;;;04328
2020-01-01 14:28:02.860013;/expose/114962954;['Das sanierte Hinterhaus befindet sich im beliebten Stadtteil Schleußig, südwestlich der Stadtmitte von Leipzig. Der nahe gelegene Clara-Zetkin-Park sowie die Nähe zum Cospudener See zeichnen die Lage besonders aus. Die Erdgeschosswohnung verfügt über ein Schlaf- und Wohnzimmer, eine separate Küche mit Einbauküche, ein innenliegendes Bad mit Dusche und WM-anschluss sowie einen kleinen Flur. In den Nebenkosten von 120,00 EUR sind die Heizkosten von ca. 60,00 EUR bereits enthalten. Die Wohnung wird über eine Gastherme betrieben.\nBitte beachten Sie, dass es keinen Kelleranteil für diese Wohnung gibt.', 'Bad mit Dusche, Laminat, Einbauküche, derzeitige Nutzung - frei/leerstehend, Erdgeschoss, Fliesen, Gasetagenheizung, Hausmeisterservice, Haustiere erlaubt', 'EG rechts', 'www.kks-leipzig.de'];showqualicontactform;profile0;false;true;top;Sachsen;Leipzig;Deutschland;04229;51,3196474158316;12,342975795030775;false;n;n;n;410;3;2303;n;no_information;001.2303;n;;;no_information;;;n;;y;;self_contained_central_heating;15, Hinterhaus;wohnung_miete;no_information;0,active;;n;54;2;n;;2;2;1;16302;no_information;https://pictures.immobilienscout24.de/listings/5be024d3-c0bf-4f15-be0e-7ba976c53ce1-1340940140.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;4.46;15.67;4.46;Sachsen;Leipzig;Schleußig;114962954;120;"Oeserstra&szlig;e";Oeserstraße;;;;;;;;;;;;;;;;;530;no_information;1900;1;04229
2020-01-01 14:28:03.622619;/expose/74024646;['Saniertes, denkmalgeschütztes Bürgerhaus mit grünem Innenhof für 4 Mietparteien', 'Die Zimmer sind mit Laminatböden, das Tageslichtbad und die Küche sind mit Fliesenböden ausgestattet. Das Bad verfügt über eine Badewanne.\nEs gibt einen schönen Balkon zum Innenhof.', 'Die Wohnung ist verkehrsgünstig zu Bus und Bahn gelegen. Einkaufsmöglichkeiten sind fußläufig zu erreichen. \n10 Minuten bis zum Stadtzentrum'];showqualicontactform;profile0;false;true;top;Sachsen;Leipzig;Deutschland;04317;51,33748409842469;12,407559690761666;false;n;y;n;525;4;5370811;n;refurbished;001.5370811;y;;;gas;1;disabled;n;;n;;central_heating;2;wohnung_miete;normal;0,active;2000;n;70;3;n;;3;3;4;9057_ 01;negotiable;https://pictures.immobilienscout24.de/listings/b464df7a-65f4-4bee-a771-2160721c67e8-795427788.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;11;4.38;16.31;4.38;Sachsen;Leipzig;Reudnitz_Thonberg;74024646;200;Geyerstrasse;Geyerstrasse;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;;725;raised_ground_floor;1923;1;04317
2020-01-01 14:28:04.179277;/expose/94259043;"['Mache dein Studium zur besten Zeit eines Lebens:\nBei uns erwarten dich 111 qualitativ hochwertige und stilvoll eingerichtete Studentenapartments, die so entworfen sind, dass sie dir das Gefühl geben, nach Hause zu kommen. Dein Apartment verfügt über ein eigenes Bad, eine eigene Küche und deinen eigenen Wohnraum zum Lernen und Entspannen. Zusätzlich hast du genug Platz zum Studieren, Freunde treffen und Gemeinschaftsflächen, die jederzeit für dich zur Verfügung stehen. Außerdem kannst du dich im ganzen Haus kostenlos ins schnelle W-LAN Netzwerk einwählen.\n\nSichere dir unsere SummerSale-Preise €%\nWelche Kategorie passt wohl am besten zu dir?\nA (19– 20 m²) monatliche all-inclusive Miete: 399€\nB (18 – 20  m²) monatliche all-inclusive Miete: 439€\nC (18 – 20 m²) monatliche all-inclusive Miete: 459€\nD (19 – 20 m²) monatliche all-inclusive Miete: 479€\nE (19 – 20 m²) monatliche all-inclusive Miete: 479€ \nF (18 – 20 m²) monatliche all-inclusive Miete: 499€\nG (19 – 26 m²) monatliche all-inclusive Miete: 525€\nH (22 – 26 m²) monatliche all-inclusive Miete: 649€\nI (37 m²) monatliche all-inclusive Miete: 699€\n\n\nWer kann bei Staytoo Leipzig wohnen?\nIm Staytoo Leipzig können ausschließlich Studenten mieten!\nBei Staytoo triffst du Gleichgesinnte, knüpfst wertvolle Kontakte und kannst viel Spaß haben. Staytoo ist alles andere, außer ein gewöhnlicher Ort zum Wohnen.\n\nWerde Teil einer lebhaften Gemeinschaft und erweitere deinen Freundeskreis.\n#StayFriends\n\n„Hier gibt es keine Fremden; nur Freunde, die du bisher noch nicht kennengelernt hast.“\n– William Butler Yeats –\n\nWeitere Informationen findest Du unter www.staytoo.de', '#StayFurnished\nDein Apartment ist bereits vollständig eingerichtet und mit hochwertigen Möbeln ausgestattet. Du musst nur noch deine persönlichen Sachen mitbringen und kannst dich sofort ins Studentenleben stürzen.\n\n** Bei dem gezeigten Musterapartment handelt es sich um das Apartment 001, ein Apartment in der Kategorie C für eine monatliche Gesamtmiete von 459,00 €. Es handelt sich hierbei lediglich um das Musterapartment und dient als Veranschaulichung.', 'Dein Staytoo Apartment befindet sich in der Karl – Liebknecht – Straße 144, auch liebevoll „Karli“ genannt. Nur einen Steinwurf von der HTWK und der HfTL entfernt. Egal ob Supermarkt, Szeneviertel Südvorstadt oder ein nettes Cafè, alles ist in ein paar Minuten zu Fuß zu erreichen. Während alle schon hektisch zum Bus in Richtung Uni rennen, liegst du noch gemütlich im Bett. Fünf Minuten vor Vorlesungsbeginn überquerst du die Straße und kommst trotzdem pünktlich.', 'Komm uns doch einfach mal besuchen und schau dir eins der Apartments an, wir freuen uns über jeden Besuch! Falls du interessiert bist, kannst du ganz einfach online unter https://www.staytoo.de/besichtigung/ einen Besichtigungstermin vereinbaren.']";showqualicontactform;profile0;false;true;top;Sachsen;Leipzig;Deutschland;04275;51,31992427629188;12,373618785474276;false;n;n;y;299;1;17295589;n;first_time_use;009.b3311039-ac86-4183-a304-b0a45ac5fe68;y;B;energy_required;district_heating;1;;n;;y;0;central_heating;144;wohnung_miete;sophisticated;0,active;2017;y;20;1;n;0;1;1;6;94259043;no;https://pictures.immobilienscout24.de/listings/6da3266f-4cb3-4c5b-bc24-1902beb1f56f-1302172160.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;19;4.47;16.11;4.47;Sachsen;Leipzig;Südvorstadt;94259043;100;"Karl-Liebknecht-Stra&szlig;e";Karl-Liebknecht-Straße;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;61;399;no_information;2017;9;04275
2020-01-01 14:28:04.750047;/expose/110637789;['Diese familiengeeignete DREI-RAUM-WOHNUNG mit BALKON befindet sich im dritten Obergeschoss rechts in einem sanierten Mehrfamilienhaus. Die beiden zur Delitzscher Landstraße ausgerichteten Zimmer sowie das hofseitige gemütliche Schlafzimmer sind mit einem schönen Laminatboden ausgestattet. Die vom Flur aus begehbare geräumige Küche verfügt über PVC-Fußbodenbelag und führt SIE auf den Balkon, auf welchem SIE IHREN Ort der Ruhe und Erholung finden können. Das klein geschnittene und dadurch gemütlich wirkende Tageslichtbad verfügt u. a. über eine eingeflieste Einbaubadewanne, helle Wandfliesen und terrakottafarbene Fußodenfliesen.', 'Diese gemütliche DREI-RAUM-WOHNUNG mit Balkon befindet sich im Stadtbezirk Nord im Leipziger Stadtteil Wiederitzsch. Wiederitzsch ist durch öffentliche Verkehrsmittel sehr gut mit der sehenswerten Leipziger Innenstadt verbunden. Außerdem liegt die Anschlussstelle Leipzig-Mitte der A 14 in unmittelbarer Nähe des Stadtteils, auch die Neue Messe und der Flughafen Leipzig-Halle sind nur wenige Kilometer entfernt. Erholung und Spaß können SIE an dem im näheren Umfeld befindlichen Schladitzer See im nördlichen Leipziger Neuseenland erleben.', ' BODENBELAG:\rFliesen/Laminat\rBAD:\rBad mit Fenster, Bad mit Wanne, Boden: Fliesen/Stein\rKÜCHE:\rseparate Küche, Küche mit Fenster\rWASCHEN:\rAnschluss in Küche\rWEITERES:\rBalkon, Etagenheizung (Gas), Abstell: Keller\rAnmerkung: Die von uns gemachten Angaben haben wir nach bestem Wissen und Gewissen nach Informationen des Vermieters/Verkäufers und den uns übergebenen Informationen zusammengestellt. Eine Gewähr für diese Angaben können wir nicht übernehmen. Wichtige Zahlen und Informationen sind am Objekt zu überprüfen. Zwischenvermietung/Verkauf bleibt vorbehalten. Die hier gemachten Angaben zur Wohnfläche dienen wegen möglicher Messfehler nicht zur Festlegung des Angebots- und Mietvertragsgegenstandes. Der räumliche Umfang der angebotenen bzw. anzumietenden Sache ergibt sich vielmehr aus der Anzahl der angebotenen bzw. anzumietenden Räume.'];showqualicontactform;profile0;false;true;top;Sachsen;Leipzig;Deutschland;04158;51,3942061658273;12,372927393188931;false;n;y;n;492;3;5307136;y;refurbished;001.5307136;y;;no_information;gas;3;;n;;n;;self_contained_central_heating;63;wohnung_miete;normal;0,active;;n;81.98;4;n;;3;3;;141810-M-DeLa63IIIOGre;no_information;https://pictures.immobilienscout24.de/listings/49060da6-ad1c-4801-a339-337b222f8ef0-1339319582.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;5;3.28;14.26;3.28;Sachsen;Leipzig;Wiederitzsch;110637789;107;"Delitzscher Landstra&szlig;e";Delitzscher_Landstraße;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;;599;no_information;1914;1;04158
2020-01-01 14:28:05.221604;/expose/114577856;['- Neubauwohnanlage in gepflegtem Zustand', '- Bad mit Badewanne innenliegend\n- Küche und Bad mit Fliesen\n- in den Wohnräumen Laminatböden', '- Die Wohnung ist ruhig, mit den Fenstern zum Garten-Hofbereich.\n- Das Wohnhaus liegt in unmittelbarer Nähe vom Auensee und Auenwald\n- gute Verkehrsanbindungen, 15 Min. bis zur Innenstadt\n- Einkaufsmöglichkeiten fußläufig zu erreichen', '- gepflegte Einbauküche kann vom Vormieter für 400,00 € übernommen werden.\n- ein Tiefgaragenstellplatz kann separat angemietet werden'];showqualicontactform;profile0;false;true;top;Sachsen;Leipzig;Deutschland;04159;51,37287693781243;12,32257684714999;false;n;y;n;350;2;5370811;y;mint_condition;001.5370811;y;D;energy_consumption;gas;1;disabled;n;;n;;central_heating;1;wohnung_miete;no_information;0,active;1995;n;50;2;n;0;2;2;3;1014-206;no_information;https://pictures.immobilienscout24.de/listings/fbd75572-b294-4663-bda3-2d4877bb5c31-1335397758.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;4;3.57;15.99;3.57;Sachsen;Leipzig;Wahren;114577856;120;Am Hirtenhaus;Am_Hirtenhaus;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;118;470;no_information;1995;5;04159
2020-01-01 14:28:05.792203;/expose/113181013;"['Die Wohnung befindet sich in einem im Jahr 1993 erbauten Mehrfamilienhaus im Stadtteil Leipzig Paunsdorf. Das Haus, auch das ""Blaue Palais"" genannt, steht in einer ruhigen Seitenstraße mit altem Baumbestand, was für ein angenehmes Klima sorgt. Im mit dem Auto nur 5 Minuten Fahrtzeit entfernte ""Paunsdorf Center"", kann man Besorgungen erledigen. Das Leipziger Zentrum erreicht man in ca. 15 Minuten mit dem Auto.', 'Die Wohnungen wurden alle renoviert und mit einem Fussbodenbelag aus Laminat ausgestattet, ebenso wurden die Bäder vollkommen saniert und entsprechen dem neuesten Standard. Zur Wohnung gehört eine neue Einbauküche mit Kühlschrank. Jede Wohnung hat entweder eine Dachterrasse oder einen Balkon. Auf Anfrage ist die Anmietung eines TG - Stellplatzes möglich. Der monatliche Mietpreis für den Stellplatz beträgt € 40,- und ist nicht im Mietpreis enthalten.', 'Im Keller in einem eigens dafür vorgesehenen Raum stehen Waschmaschinen und Trockner zur Nutzung gegen Entgelt']";showqualicontactform;profile0;false;true;top;Sachsen;Leipzig;Deutschland;04328;51,3463393075214;12,45226802383551;false;n;y;n;235;1;18099685;n;fully_renovated;002.01008841265;y;;no_information;;0;;n;;y;;no_information;6;wohnung_miete;no_information;0,active;;y;27.5;1;n;;1;1;5;113181013;no_information;https://pictures.immobilienscout24.de/listings/fc7f3eeb-f148-4c20-b03b-4f0cca199353-1315077239.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;3.42;12.76;3.42;Sachsen;Leipzig;Paunsdorf;113181013;71;"Johannes-K&auml;rner-Stra&szlig;e";Johannes-Kärner-Straße;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;;306;apartment;;;04328
