timestamp;URL;beschreibung;evt_count_pm_sig;ga_cd_application_requirements;ga_cd_cxp_historicallisting;ga_cd_developer_virtualreality;ga_cd_maillead_default_shown;ga_cd_via;geo_bln;geo_krs;geo_land;geo_plz;lat;long;obj_ExclusiveExpose;obj_assistedLiving;obj_balcony;obj_barrierFree;obj_baseRent;obj_baseRentRange;obj_cId;obj_cellar;obj_condition;obj_cwId;obj_depositLink;obj_energyEfficiencyClass;obj_energyType;obj_firingTypes;obj_floor;obj_galleryAd;obj_garden;obj_groupnumber;obj_hasKitchen;obj_heatingCosts;obj_heatingType;obj_houseNumber;obj_immotype;obj_interiorQual;obj_ityp;obj_lastRefurbish;obj_lift;obj_livingSpace;obj_livingSpaceRange;obj_newlyConst;obj_noParkSpaces;obj_noRooms;obj_noRoomsRange;obj_numberOfFloors;obj_objectnumber;obj_petsAllowed;obj_picture;obj_picturecount;obj_pricetrend;obj_pricetrendbuy;obj_pricetrendrent;obj_regio1;obj_regio2;obj_regio3;obj_scoutId;obj_serviceCharge;obj_street;obj_streetPlain;obj_telekomDownloadSpeed;obj_telekomHdTelephone;obj_telekomHybridDownloadSpeed;obj_telekomHybridUploadSpeed;obj_telekomInternet;obj_telekomInternetProductAvailable;obj_telekomInternetProductName;obj_telekomInternetServices;obj_telekomInternetTechnology;obj_telekomInternetType;obj_telekomInternetUrl;obj_telekomInternetUrlMobile;obj_telekomTrackingGroup;obj_telekomTvOffer;obj_telekomUploadSpeed;obj_thermalChar;obj_totalRent;obj_typeOfFlat;obj_yearConstructed;obj_yearConstructedRange;obj_zipCode
2020-01-01 23:48:45.720937;/expose/86758891;['Das ehemaligen Fabrikgelände der Aromawerke wurde aufwendig und hochwertig saniert. Mittelpunkt des unter Denkmalschutz stehenden Geländes ist der weit sichtbare Schornstein, um welchen sich die Fabrikgebäude mit exklusive Loftwohnungen gruppieren.\xa0Alle Wohnungen verfügen über eine gehobene Ausstattung nach neusten Standards.', 'Exklusive Ausstattung mit Parkett und Fußbodenheizung und hochwertig ausgestattetem Bad, Galerie, Balkon, Lift, Stellplatz\nWeitere Ausstattungsmerkmale: Bad mit Dusche, Bad mit Wanne, Balkon, Fußboden Parkett, Fußbodenheizung, Haustiere nach Vereinbarung, Heizung: Fernwärme, Stellplatz: Kann gemietet werden', 'In Leipzigs Toplage: Citynah im Bachviertel, Nähe zur Innenstadt und zum Johannapark', 'Exklusives Apartment mit großem SO-Balkon, Fußbodenheizung, hochwertig gefliestes Bad, Dusche und Badewanne, Stellplatz im Innenhof.'];showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04109;51,3372455523192;12,362154658062789;false;n;y;n;583;4;16542619;y;well_kept;002.01000568560;y;;;district_heating;1;;n;;n;;central_heating;1;wohnung_miete;sophisticated;0,active;;y;53;2;n;;2;2;3;SG1_WE12;negotiable;https://pictures.immobilienscout24.de/listings/7b739ada-1f08-45d2-a4a4-1855d2f48b0d-998790000.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;3;5.41;;;Sachsen;Leipzig;Zentrum_West;86758891;132;"Schreberg&auml;&szlig;chen";Schrebergäßchen;;;;;;false;;;;;;;;;;;715;no_information;;;04109
2020-01-01 23:48:46.491033;/expose/73255815;['Wohnen im Stötteritzer Rathaus!\nEntsprechend des Denkmalschutzes wurden hier alte Fenster und Türen wieder neu hergerichtet bzw. ausgetauscht und bieten Ihnen eine tolle Wohnatmosphäre. Alle Fußböden sind mit hochwertigem Laminat ausgestattet passend zum gesamten Wohnbereich. Das Badezimmer ist hochwertig saniert und mit Wanne, Fenster und Waschmaschinenanschluss ausgestattet. . +++Parkplatz möglich+++Kabel Deutschland und DSL sind verfügbar+++Besichtigungen Tel: 034202/301833 Vermietung direkt vom Eigentümer!!!', 'Tolle 3-Raum Wohnung mit vielen Möglichkeiten:\n-1 große Küche m. Einbauküche\n-tolles Tageslichtbad mit Wanne und Dusche\n-geräumiges Wohnzimmer \n- Stellplatz im Innenhof kann separat angemietet werden \nBODENBELAG: Laminat \nGartenmitbenutzung, Zentralheizung\nSehr nette Hausgemeinschaft.', 'Der Stadtteil Stötteritz liegt ca. 4 km südöstlich des Zentrums von Leipzig. Dieser grüne und stadtnahe Teil Leipzig´s ist geprägt von gründerzeitlichen Villen und Miethäusern sowie Zwanzigerjahrebauten mit unterschiedlichen Jugenstildekors. In Stötteritz finden Sie auch das bekannte Völkerschlachtdenkmal mit seinen umliegenden Parkanlagen, lädt es zum Verweilen ein. Öffentliche Verkehrsmittel, wie Bus und Bahn, Sehenswürdigkeiten wie das Völkerschlachtdenkmal, Grünflächen und Parkanlagen sind fußläufig zu erreichen. Durch die Nähe vieler Einkaufsmöglichkeiten, Ärztehäuser, Kindergärten, Schulen, mehreren Restaurants und der zentrumsnähe sind die Wohnungen nicht nur für Familien sondern auch für Studenten, Auszubildende und Singles geeignet.', 'Die von uns aufgeführten Angaben im Exposé beruhen auf unterschiedliche Informationsquellen und können eine Objektbegehung nicht ersetzen. Des Weiteren schließen wir hiermit eine Haftung für die Vollständigkeit, Richtigkeit und Genauigkeit der hier erteilten Informationen und Aussagen aus, es sei denn, eine etwaige Unvollständigkeit, Unrichtigkeit und Ungenauigkeit der hier erteilten Informationen und Aussagen beruhen auf Vorsatz, Arglist oder grober Fahrlässigkeit unserer gesetzlichen Vertreter, Mitarbeiter oder Erfüllungsgehilfen.'];showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04299;51,3193374556034;12,419416112839814;false;n;n;n;749;5;15435724;y;refurbished;001.15383541;n;;;gas;2;;y;;y;;central_heating;65;wohnung_miete;sophisticated;0,active;2010;n;122;6;n;1;3;3;4;73255815;negotiable;https://pictures.immobilienscout24.de/listings/5a509830-c505-4862-9fa2-0c1f416f7698-1312105047.jpeg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;19;4.62;;;Sachsen;Leipzig;Stötteritz;73255815;150;"Holzh&auml;user Str.";Holzhäuser_Str.;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;;899;apartment;1900;1;04299
2020-01-01 23:48:46.932070;/expose/114958675;['Wohnung liegt am Rande Grünaus mit Blick auf Miltitz in der Nähe der Endstelle der Straßenbahnlinie 15. Ein Erholungsgebiet mit Sport- und Freizeitmöglichkeiten befindet sich in unmittelbarer Nähe am Kulkwitzer See.', 'Der Fußboden ist mit PVC oder Linoleum, Fliesen belegt. Das Bad ist mit einer Badewanne  ausgestattet. Medial kann Analog TV, Digital TV, Internet, Telefonie über TV-Kabel von PrimaCom Berlin GmbH angeboten werden.', 'Die Wohnung liegt in einer normalen Wohnlage an einer Hauptstraße. In unmittelbarer Nähe befinden sich: Einzelhandelseinrichtungen, Dienstleister, Ärzte, Kindertagesstätten, Schulen, Gastronomie, Haltestellen der Straßenbahnlinien: 15, Haltestellen der Buslinien: 62,  des ÖPNV.', 'Es sind Genossenschaftsanteile gemäß Satzung zu zeichnen. Der angegebene Mietpreis kann auf Grund individueller Ausstattungswünsche variieren.'];showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04205;51,3246896756269;12,263808908649226;false;n;n;n;182.62;1;437975;n;negotiable;001.437975;n;C;energy_consumption;district_heating;2;;n;;n;40.76;central_heating;65;wohnung_miete;no_information;0,active;;n;32.61;1;n;;1;1;6;829/2/4__7031--154;yes;https://pictures.immobilienscout24.de/listings/0b0ab9ba-69f2-43de-b529-e02c63081e72-1340905601.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;2.88;null;2.88;Sachsen;Leipzig;Grünau_Nord;114958675;28.04;"Saturnstra&szlig;e";Saturnstraße;50 MBit/s;true;;;50 MBit/s;true;MagentaZuhause M;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/mm;https://padlock.link/iomm;telekom_layer_magenta_m;ONE_YEAR_FREE;10 MBit/s;88;;apartment;1982;4;04205
2020-01-01 23:48:47.552453;/expose/74575384;['Das Denkmalschutzobjekt mit klassischer Bauweise wurde wieder instand gesetzt und nach zeitgemäßen Maßstäben modernisiert.', '* Flur und Wohnräume sind mit Eichenparkettboden ausgestattet\n* Küche/Bad moderner großformatiger Fliesenbelag\n* offene Küche\n', 'Das Gebäude befindet sich ca. 3 km nord-westlich des Zentrums, im Stadtteil Gohlis.', 'Dieses Objekt besitzt insgesamt 13 Wohneinheiten.\nDie Wohnung ist aktuell noch vermietet. Besichtiungstermine können abgestimmt werden.'];showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04159;51,36654713048018;12,349638718364885;false;n;y;n;380;2;3263839;y;mint_condition;001.3263839;y;;;gas;2;;n;12;n;50;central_heating;3;wohnung_miete;sophisticated;0,active;2013;y;58.3;2;n;;2;2;4;74575384;yes;https://pictures.immobilienscout24.de/listings/e45821b8-3b49-4d63-b749-7789121bb59f-803337221.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;3.8;14.48;3.8;Sachsen;Leipzig;Möckern;74575384;50;"Huygenstra&szlig;e";Huygenstraße;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;;480;apartment;1900;1;04159
2020-01-01 23:48:47.942495;/expose/114306363;['Das imposante Mehrfamilienhaus in der Heinrich-Budde-Str. 47 erstrahlt ab 01.02.2020, nach umfangreicher Sanierung, in neuem Glanz. Das Haus umfasst insgesamt 10 Wohneinheiten.', 'Bitte treten Sie hinein in Ihre neue, persönliche Wohlfühloase. Diese 3,5-Zimmerwohnung erstreckt sich über 2 Etagen und lässt keine Wünsche offen: im Flur werden Sie von einem hochwertigen Parkettfußboden inkl. Fußbodenheizung begrüßt. Danach gelangen Sie in einen großzügigen Wohnbereich mit offener Küche. Von hier gelangen Sie auf die gemütliche Loggia. Auf dieser Ebene befindet sich noch ein Gäste-WC. Über eine Treppe erreichen Sie die obere Ebene, in der sich zwei Schlafzimmer und ein weiteres Tageslicht-Bad mit Wanne und Dusche befinden. Zu jede Wohnung wird ein Kellerabteil zur Verfügung gestellt.', 'Die Wohnung befindet sich im Gohliser Norden, einem alteingesessenen Viertel nördlich der Leipziger Innenstadt. Der Stadtteil ist schnell mit den öffentlich Verkehrsmitteln zu erreichen. Ebenfalls haben Sie kurze Wege zu Einkaufsmöglichkeiten, sowie Schulen und Ärzten.', 'Aktuell befindet sich das Objekt noch in Sanierung. Sehr gern können Sie mit uns jedoch bereits jetzt einen Besichtigungstermin vereinbaren. Bitte bringen Sie noch ein bisschen Vorstellungskraft mit. Die Ausstattung wird, wie auf den Referenzbildern ersichtlich, ausgeführt.'];showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04157;51,3709363100429;12,373200043566712;false;n;y;n;929;6;3263839;y;first_time_use_after_refurbishment;001.3263839;y;;;;4;;y;;n;;floor_heating;47;wohnung_miete;sophisticated;0,active;2020;y;92.87;4;n;;3.5;3;4;114306363;negotiable;https://pictures.immobilienscout24.de/listings/5deadf14-69f2-4b99-9adb-ebf8b0a60d1f-1331329060.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;4.07;14.7;4.07;Sachsen;Leipzig;Gohlis_Mitte;114306363;211;Heinrich-Budde-Str.;Heinrich-Budde-Str.;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;;1140;maisonette;;;04157
2020-01-01 23:48:48.334952;/expose/113916834;"['Mitten im Herzen von Gohlis liegt diese hübsche 3-Raum-Wohnung. Im Erdgeschoss eines Mehrfamilienhauses bietet Ihnen die Liegenschaft ein ruhiges, aber auch zugleich zentrumnahes Wohnen. Viele kleinere, grüne Oasen wie z.B. der Artur-Brettschneider-Park oder auch kulturelle Möglichkeiten machen das Wohnumfeld in ganz Leipzig sehr beliebt. Schulen sowie Kindertagesstätten befinden sich fußläufig nah zu dem Objekt. In wenigen Minuten erreichen Sie das Zentrum Nord von der Wohnung aus und haben damit alle Nahverkehrsanbindungen zur Auswahl.', '*3 Zimmer\n*Bad mit Wanne\n*Gemeinschaftsgarten\n*Außenrollladen\n* Loggia', 'Der Stadtteil Gohlis-Süd gehört zu den exklusivsten und damit auch begehrtesten Wohngegenden Leipzigs, der sich nur ca. 2 km nördlich vom Leipziger Stadtzentrum befindet. Repräsentative Villen, stilvolle Bürgerhäuser und herrschaftliche Mehrfamilienhäuser prägen die gründerzeitliche Architektur des Viertels. Der beliebte Leipziger Zoo bildet das grüne Eingangstor des Stadtteils. Gleich dahinter erstrecken sich die Parkanlagen des Rosentals und bieten den perfekten Rahmen für einen gemütlichen Spaziergang, Picknick im Grünen oder sportliche Aktivitäten. Die Nähe zur Innenstadt sowie die gute Verkehrsanbindung des Stadtviertels gewährleisten ein schnelles Erreichen der Leipziger City in nur wenigen Minuten. Einer der vielen kulturellen Anlaufpunkte ist das „Gohliser Schlösschen“ im Rokokostil mit vielseitigen Konzerten und Ausstellungen. Das Schillerhaus als ältestes Literaturmuseum Deutschlands hat hier seinen Platz, genau wie zahlreiche kleine Galerien. Neben Schulen, Kindertagesstätten, Fitnessstudios und Arztpraxen finden Sie auch eine große Auswahl an Einkaufsmöglichkeiten rund um die Gohliser Straße, der Hauptader des Stadtteils. Wer stilvoll oder zünftig speisen möchte, kann einen der zahlreichen Restaurants wie beispielsweise dem ""Münsters"", der ""Drogerie"" oder der traditionsreichen ""Gosenschenke"" einen Besuch abstatten.']";showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04157;51,37110514969127;12,374346475928773;false;n;y;n;389;2;12623270;n;no_information;001.12623270;n;;;;0;;n;;n;;no_information;52;wohnung_miete;normal;0,active;;n;64.83;3;n;;3;3;;HB52EG;negotiable;https://pictures.immobilienscout24.de/listings/0caf7ba2-02e9-4769-b0ac-107adf5dda7f-1325562925.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;4.07;14.7;4.07;Sachsen;Leipzig;Gohlis_Mitte;113916834;140;"Heinrich-Budde-Stra&szlig;e";Heinrich-Budde-Straße;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;;529;ground_floor;;;04157
2020-01-01 23:48:48.742382;/expose/114306217;['Das imposante Mehrfamilienhaus in der Heinrich-Budde-Str. 47 erstrahlt ab 01.02.2020, nach umfangreicher Sanierung, in neuem Glanz. Das Haus umfasst insgesamt 10 Wohneinheiten.', 'Bitte treten Sie hinein in Ihre neue, persönliche Wohlfühloase. Diese 2-Zimmerwohnung lässt keine Wünsche offen: im Flur werden Sie von einem hochwertigen Parkettfußboden inkl. Fußbodenheizung begrüßt. Das Tageslichtbad ist mit Wanne und Dusche ausgestattet. Die großzügige Küche ist modern und zeitlos gefliest. Von hier erreichen Sie auch den Balkon, auf dem Sie den Ausblick in den begrünten Innenhof genießen können. Zu jede Wohnung wird ein Kellerabteil zur Verfügung gestellt.', 'Die Wohnung befindet sich im Gohliser Norden, einem alteingesessenen Viertel nördlich der Leipziger Innenstadt. Der Stadtteil ist schnell mit den öffentlich Verkehrsmitteln zu erreichen. Ebenfalls haben Sie kurze Wege zu Einkaufsmöglichkeiten, sowie Schulen und Ärzten.', 'Aktuell befindet sich das Objekt noch in Sanierung. Sehr gern können Sie mit uns jedoch bereits jetzt einen Besichtigungstermin vereinbaren. Bitte bringen Sie noch ein bisschen Vorstellungskraft mit. Die Ausstattung wird, wie auf den Referenzbildern ersichtlich, ausgeführt.'];showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04157;51,3709363100429;12,373200043566712;false;n;y;n;622;5;3263839;y;first_time_use_after_refurbishment;001.3263839;y;;;;3;;y;;n;;floor_heating;47;wohnung_miete;sophisticated;0,active;2020;y;62.23;3;n;;2;2;4;114306217;negotiable;https://pictures.immobilienscout24.de/listings/c818b1a8-e788-430e-9004-e0d1fc439be2-1331322176.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;4.07;14.7;4.07;Sachsen;Leipzig;Gohlis_Mitte;114306217;144;Heinrich-Budde-Str.;Heinrich-Budde-Str.;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;;766;apartment;;;04157
2020-01-01 23:48:49.131211;/expose/114981133;['Die Wohnung befindet sich in einem denkmalgeschützten Haus aus der Gründerzeit um 1900. In den 90er Jahren wurde es teilsaniert. Bei Mieterwechsel werden die Wohnungen auf den aktuellen Stand modernisiert und erhalten teilweise neue Grundrisse. Es werden hochwertige Materialien verbaut.\n\nDer Garten- bzw. Hofbereich steht allen Mietern zur Nutzung offen', '- Parkett in allen Wohnräumen\n- Tageslichtbad mit Wanne und moderner Fliesung\n- großer Wohnbereich mit offener Küche und Zugang zum Balkon\n- Moderne Einbauküche\n- Balkon mit Süd-Ausrichtung\n- Abstellkammer im Treppenhaus', 'Die Wohnung befindet sich in Kleinzschocher in der Nähr zum Adler und an der Grenze zu Plagwitz. Fußläufig erreicht man den Volkspark Kleinzschocher sowie den Auwald. In der Umgebung gibt es zahlreiche Einkaufsmöglichkeiten für den täglichen Bedarf.\nMit öffentlichen Verkehrsmitteln ist man gut an die Innenstadt sowie den Leipziger Osten angebunden.', 'Besichtigung unter: 0341-355 71 82-0\nweitere Angebote unter: www.leipzig-immo.de'];showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04229;51,31968624427505;12,332195064516972;false;n;y;n;675;5;735228;y;refurbished;001.735228;y;;;gas;1;;y;;y;;central_heating;7;wohnung_miete;sophisticated;0,active;2019;n;75;3;n;;3;3;4;L-Anton7-1.OGre;negotiable;https://pictures.immobilienscout24.de/listings/cd268a66-9fd4-4ffa-9d70-6c633df302b1-1341221372.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;11;3.68;15.45;3.68;Sachsen;Leipzig;Kleinzschocher;114981133;187.5;"Antonienstra&szlig;e";Antonienstraße;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;;862.5;apartment;1900;1;04229
2020-01-01 23:48:49.623685;/expose/113888242;['Liebevoll kernsaniertes denkmalgeschütztes Mehrfamilienhaus im Stadtteil Möckern. Solar unterstützte Wasseraufbereitung senken die Nebenkosten.', 'Die 4 Raum Maisonettewohnung liegt im 3. Obergeschoss und DAchgeschoss. Sie verfügt über ein Gäste Bad mit Dusche, Fußbodenheizung, große Dachloggia an der Küche, Abstellkammern und Keller. Moderne helle Fließen.', 'Die Wohnung befindet sich zentral zu den öffentlichen Verkehrsmitteln. Einkaufsmöglichkeiten in der Nähe. Zur Erholung ist der Auensee fußläufig erreichbar.'];showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04159;51,3699526918141;12,338534874305799;false;n;y;n;830;6;5446012;y;modernized;001.5446012;y;;;gas;3;;n;1;n;130;floor_heating;20;wohnung_miete;sophisticated;0,active;2017;n;106.23;5;n;;4;4;4;113888242;no;https://pictures.immobilienscout24.de/listings/b94da284-f092-4da1-9c77-ec62a76be1ba-1325118603.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;3.8;14.48;3.8;Sachsen;Leipzig;Möckern;113888242;130;Slevogtstr.;Slevogtstr.;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;;1096;maisonette;1700;1;04159
2020-01-01 23:48:50.038733;/expose/114759071;['Schöner Leipziger Gründertzeitaltbau mit Westausrichtung. Das sehr gepflegte Haus verfügt über einen Aufzug und einen Hof, der in die Bereiche Garten und PKW-Stellplätze gegliedert ist.\r\n\r\nIm Keller ist ein Fahrradraum vorhanden, der direkt vom Garten aus zugänglich ist.', 'Fantastisch geschnittene Wohnung in perfekter, zentraler Lage. Zentrum der Wohnung ist die über 12 m² große Wohnküche. Sie bietet Platz für einen Esstisch und ist mit gepflegten Einbaumöbeln ausgestattet. Dazu gehören u.a. ein Herd mit Glaskeramikkochfeld und ein Geschirrspüler. Diese können vom Vormieter gegen eine Ablöse übernommen werden. Ebenfalls ein im Flur befindlicher Einbauschrank. \r\n\r\n\r\nBesonderer Clou: Die Küchentür und Teile der Wand zwischen Flur und Küche sind voll verglast. Dadurch fällt viel Tageslicht in den abgewinkelten Flur und es entsteht eine freundliche, lichte Atmosphäre. Durch ihre Lage im 2. OG ist die Wohnung ohnehin außerordentlich hell.\r\n\r\n\r\nVon der Küche gelangt man auf den großen, nach Westen gerichteten, überdachten Balkon. Von ihm hat man einen weiten Blick in den Hof und kann entspannt die Abendsonne genießen. \r\n\r\n\r\nDas Schlaf- und das dritte Zimmer sind ebenfalls nach Westen, in den ruhigen Hof gerichtet. Das fast 29 m² große Wohnzimmer ist zur Straße hin gerichtet. Es besteht also die Möglichkeit einer Querlüftung. Bis auf die Nassräume ist die Wohnung mit einem gepflegten Laminat ausgestattet.\r\n\r\n\r\nNeben dem Bad mit Wanne gibt es ein Gäste-WC. Hier ist auch der Anschluss für die Waschmaschine untergebracht. Der Heizkörper im Bad ist als Handtuchtrockner ausgeführt. Die Zimmertüren sind aufwändig profiliert.\r\n\r\nZu der Wohnung gehört ein großes, für Leipziger Altbauverhältnisse sehr trockenes Kellerabteil.', 'Die Lage ist ideal:\r\nDie Straßen im Zentrum Nord sind verkehrsberuhigt. Die Innenstadt, das Rosental, und der Zoo und befinden sich nur wenige Fußminuten entfernt. Zahlreiche Geschäfte des täglichen Bedarfs sind im Viertel vorhanden. \r\n\r\nDurch den Stellplatz im Hof gibt es keine Parkprobleme. Darüber hinaus gibt es ein Anwohnerparken der Stadt.', 'Sämtliche Angaben dieses Exposes beruhen auf Informationen des Vermieters. Wir bitten um Verständnis dafür, dass wir für deren Richtigkeit keine Gewähr übernehmen können.\r\n\r\nDen Gesamtbestand unserer freien Wohnungen finden Sie unter www.abakus-makler.de'];showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04105;51,34689019845434;12,373010062487142;false;n;y;n;800;5;14935796;y;mint_condition;001.14935796;n;C;energy_consumption;district_heating;2;disabled;y;;y;;central_heating;19;wohnung_miete;no_information;0,active;;y;90;4;n;;3;3;5;98-06k;no_information;https://pictures.immobilienscout24.de/listings/20c99753-1f78-48ac-bfcd-6a1fb6646b85-1338039704.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;13;4.42;14.02;4.42;Sachsen;Leipzig;Zentrum_Nord;114759071;200;"L&ouml;hrstra&szlig;e";Löhrstraße;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;91;1000;apartment;1915;1;04105
