;obj_regio3;long;obj_street;obj_baseRent;geo_plz;obj_livingSpace;lat;rel_baseRent;culture;s-stations;university;food;nightlife;spareTime;transportations
256;Lausen-Grünau;12.269356460736052;Deiwitzweg;368,0;4207,0;69,35;51.31053215576705;5,3064167267483775;0;0;0;0;0;2;2
257;Schleußig;12.3442801888963;"Schnorrstra&szlig;e";885,0;4229,0;123,44;51.32008732301133;7,1694750486066114;0;0;0;9;1;3;3
258;Altlindenau;12.334876895523813;"Hahnemannstra&szlig;e";494,0;4177,0;66,0;51.33860679346829;7,4848484848484835;4;0;4;9;4;5;5
259;Neulindenau;12.317652576676615;"Gotzkowskystra&szlig;e";491,0;4179,0;70,0;51.33022462969899;7,014285714285713;6;1;1;4;4;5;5
260;Lausen-Grünau;12.269235782856018;An der Kotsche;368,0;4207,0;69,35;51.31104576424;5,3064167267483775;0;0;0;0;0;2;3
261;Grünau-Nord;12.271795039346069;Hafenstr.;1254,09;4179,0;122,35;51.326792304772795;10,25002043318349;0;0;0;0;0;0;0
262;Volkmarsdorf;12.40998355871102;"Bernhardstra&szlig;e";360,0;4315,0;48,0;51.3395350123221;7,5;2;0;4;4;6;8;5
263;Neulindenau;12.305288264751676;Hafenstr.;1020,29;4179,0;97,17;51.3312962158354;10,500051456210764;1;0;0;3;0;1;1
264;Zentrum-West;12.36439217368849;"Friedrich-Ebert-Stra&szlig;e";958,64;4109,0;83,36;51.337675812935025;11,5;5;0;1;20;10;5;6
265;Grünau-Nord;12.271795039346069;Hafenstr.;1282,89;4179,0;122,18;51.326792304772795;10,5;0;0;0;0;0;0;0
266;Neulindenau;12.305288264751676;Hafenstr.;1066,49;4179,0;101,57;51.3312962158354;10,500049227133998;1;0;0;3;0;1;1
267;Neulindenau;12.305288264751676;Hafenstr.;1044,26;4179,0;97,14;51.3312962158354;10,75005147210212;1;0;0;3;0;1;1
268;Neulindenau;12.305288264751676;Hafenstr.;1022,07;4179,0;97,34;51.3312962158354;10,5;1;0;0;3;0;1;1
269;Neustadt-Neuschönefeld;12.398359148812425;"Ludwigstra&szlig;e";745,0;4315,0;85,37;51.34678276131429;8,726718987934872;2;0;6;7;5;4;7
270;Grünau-Nord;12.265037953970067;Neue Leipziger Str.;400,0;4205,0;70,24;51.31879544182;5,694760820045557;1;0;2;2;3;0;4
271;Grünau-Nord;12.271795039346069;Hafenstr.;870,24;4179,0;82,88;51.326792304772795;10,5;0;0;0;0;0;0;0
272;Kleinzschocher;12.322326074972551;Knauthainer Str.;330,0;4229,0;48,91;51.316674918646;6,747086485381312;4;0;2;3;1;5;4
273;Neulindenau;12.305288264751676;Hafenstr.;734,9;4179,0;69,99;51.3312962158354;10,500071438776967;1;0;0;3;0;1;1
